"Transaction Type","Date","Amount Debited","Debit Currency","Amount Credited","Credit Currency","Buy / Sell Rate","Direction","Spot Rate","Source / Destination","Blockchain Transaction ID"
"card transactions","2021-12-03T23:52:23+00",38.94,"CAD",,,,"debit",,"PROVIGO 8457",
"peer transfer","2021-12-04T05:00:49+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-12-04T05:20:56+00",,,0.00001,"BTC",,"credit","62658.3785",,
"peer transfer","2021-12-04T05:40:48+00",5,"CAD",,,,"debit",,"@jessyjr97",
"card cashbacks","2021-12-04T13:00:39+00",,,0.00001273,"BTC",,"credit","60448.4879","@cashbacks",
"card transactions","2021-12-04T18:50:36+00",22,"CAD",,,,"debit",,"CORA STE FOY",
"shakingsats","2021-12-05T11:57:22+00",,,0.00001,"BTC",,"credit","63218.7271",,
"card cashbacks","2021-12-05T12:20:32+00",,,0.00000684,"BTC",,"credit","63523.5710","@cashbacks",
"peer transfer","2021-12-05T12:52:35+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-12-05T15:59:29+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-12-06T06:04:48+00",,,0.00001,"BTC",,"credit","62501.9704",,
"shakingsats","2021-12-07T05:00:33+00",,,0.00001,"BTC",,"credit","64997.7577",,
"peer transfer","2021-12-07T14:36:25+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-12-07T14:37:58+00",,,5,"CAD",,"credit",,"@jessyjr97",
"card transactions","2021-12-08T00:12:22+00",19.35,"CAD",,,,"debit",,"MAXI 8649       ",
"peer transfer","2021-12-08T11:43:44+00",,,5,"CAD",,"credit",,"@jessyjr97",
"card cashbacks","2021-12-08T13:00:39+00",,,0.00000615,"BTC",,"credit","62169.4659","@cashbacks",
"shakingsats","2021-12-08T13:46:12+00",,,0.00001,"BTC",,"credit","62158.7704",,
"peer transfer","2021-12-09T04:05:39+00",10,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-12-09T12:08:00+00",,,0.00001,"BTC",,"credit","62543.0611",,
"purchase/sale","2021-12-09T12:09:57+00",0.001863,"ETH",10.02,"CAD","5383.2031","sale",,,
"peer transfer","2021-12-09T12:34:06+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-12-09T15:15:26+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-12-10T12:09:33+00",,,0.00001,"BTC",,"credit","62362.0876",,
"peer transfer","2021-12-10T17:26:10+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-12-10T17:28:29+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-12-11T16:21:54+00",,,0.00001,"BTC",,"credit","62566.6972",,
"peer transfer","2021-12-11T19:16:07+00",,,5,"CAD",,"credit",,"@jessyjr97",
"fiat funding","2021-12-11T22:14:22+00",,,100,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"shakingsats","2021-12-12T05:11:16+00",,,0.00001,"BTC",,"credit","62427.4202",,
"card transactions","2021-12-12T14:19:08+00",4.97,"CAD",,,,"debit",,"STOCKHOLM CAFE",
"peer transfer","2021-12-12T16:23:26+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-12-13T07:10:44+00",,,0.00001,"BTC",,"credit","62143.7358",,
"card cashbacks","2021-12-13T15:20:54+00",,,0.00000161,"BTC",,"credit","60757.1784","@cashbacks",
"peer transfer","2021-12-13T18:38:12+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-12-13T19:01:46+00",6,"CAD",,,,"debit",,"@jessyjr97",
"card transactions","2021-12-13T20:57:00+00",3.21,"CAD",,,,"debit",,"COUCHETARD 544",
"shakingsats","2021-12-14T12:39:31+00",,,0.00001,"BTC",,"credit","61102.6811",,
"peer transfer","2021-12-14T12:39:52+00",5,"CAD",,,,"debit",,"@jessyjr97",
"card cashbacks","2021-12-14T15:31:08+00",,,0.00000104,"BTC",,"credit","60919.8858","@cashbacks",
"shakingsats","2021-12-15T15:46:55+00",,,0.00001,"BTC",,"credit","60650.8622",,
"shakingsats","2021-12-16T08:47:21+00",,,0.00001,"BTC",,"credit","62571.9777",,
"card transactions","2021-12-16T21:53:03+00",40.52,"CAD",,,,"debit",,"SOURCE  56180",
"card transactions","2021-12-16T23:03:30+00",32.42,"CAD",,,,"debit",,"BENNYCO CAPROUGE",
"card transactions","2021-12-17T00:45:25+00",3.45,"CAD",,,,"debit",,"IKEA QUEBEC CITY",
"shakingsats","2021-12-17T12:49:28+00",,,0.00001,"BTC",,"credit","60479.9668",,
"card cashbacks","2021-12-17T13:11:15+00",,,0.00001328,"BTC",,"credit","60336.0802","@cashbacks",
"card cashbacks","2021-12-17T16:41:05+00",,,0.00000113,"BTC",,"credit","60330.8503","@cashbacks",
"card cashbacks","2021-12-17T17:01:37+00",,,0.00001064,"BTC",,"credit","60264.9106","@cashbacks",
"card transactions","2021-12-17T19:43:24+00",50,"CAD",,,,"debit",,"COUCHETARD  1310",
"card transactions","2021-12-17T20:34:38+00",3.44,"CAD",,,,"debit",,"TIM HORTONS 4964",
"shakingsats","2021-12-18T10:20:48+00",,,0.00001,"BTC",,"credit","60392.4670",,
"card cashbacks","2021-12-18T15:45:44+00",,,0.0000163,"BTC",,"credit","60662.9032","@cashbacks",
"shakingsats","2021-12-19T05:33:38+00",,,0.00001,"BTC",,"credit","61741.1792",,
"card cashbacks","2021-12-19T15:01:18+00",,,0.00000111,"BTC",,"credit","61158.9790","@cashbacks",
"shakingsats","2021-12-20T13:59:59+00",,,0.00001,"BTC",,"credit","59110.5842",,
"shakingsats","2021-12-21T14:31:21+00",,,0.00001,"BTC",,"credit","62997.5110",,
"shakingsats","2021-12-22T05:05:01+00",,,0.00001,"BTC",,"credit","63699.9912",,
"fiat funding","2021-12-23T00:07:44+00",,,150,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2021-12-23T00:19:34+00",27,"CAD",,,,"debit",,"SAQ33518 SAINTGEORGES",
"shakingsats","2021-12-23T10:51:55+00",,,0.00001,"BTC",,"credit","62072.3960",,
"shakingsats","2021-12-24T12:41:15+00",,,0.00001,"BTC",,"credit","65221.5935",,
"card cashbacks","2021-12-24T16:36:50+00",,,0.00000814,"BTC",,"credit","65545.9092","@cashbacks",
"card transactions","2021-12-24T18:58:06+00",25,"CAD",,,,"debit",,"MAGASIN CDN TIRE 0173",
"card transactions","2021-12-24T19:22:04+00",96,"CAD",,,,"debit",,"SAQ33576 BEAUCEVILLE",
"shakingsats","2021-12-25T15:29:24+00",,,0.00001,"BTC",,"credit","65053.8352",,
"shakingsats","2021-12-26T12:38:17+00",,,0.00001,"BTC",,"credit","63804.5780",,
"card cashbacks","2021-12-26T13:36:57+00",,,0.00002968,"BTC",,"credit","63958.5138","@cashbacks",
"shakingsats","2021-12-27T06:10:38+00",,,0.00001,"BTC",,"credit","65199.6345",,
"peer transfer","2021-12-27T22:49:19+00",4.44,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-12-27T22:57:37+00",,,2.33,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-12-28T05:37:29+00",,,0.00001,"BTC",,"credit","62812.9754",,
"card cashbacks","2021-12-28T14:37:39+00",,,0.0000079,"BTC",,"credit","62543.8827","@cashbacks",
"fiat funding","2021-12-28T19:11:01+00",,,100,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"purchase/sale","2021-12-28T19:13:29+00",5,"CAD",0.00101700078339773,"ETH","4916.4171","purchase",,,
"shakingsats","2021-12-29T06:39:16+00",,,0.00001,"BTC",,"credit","61502.3295",,
"purchase/sale","2021-12-29T23:32:33+00",15,"CAD",0.00025,"BTC","59750.7771","purchase",,,
"shakingsats","2021-12-30T05:55:08+00",,,0.00001,"BTC",,"credit","59757.4400",,
"shakingsats","2021-12-31T05:25:14+00",,,0.00001,"BTC",,"credit","60205.4329",,
"shakingsats","2022-01-01T05:02:11+00",,,0.00001,"BTC",,"credit","59060.5171",,
"fiat funding","2022-01-01T16:20:00+00",,,200,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"shakingsats","2022-01-02T07:29:14+00",,,0.00001,"BTC",,"credit","59658.6902",,
"shakingsats","2022-01-03T12:45:28+00",,,0.00001,"BTC",,"credit","59977.9241",,
"shakingsats","2022-01-04T12:42:11+00",,,0.00001,"BTC",,"credit","59336.4631",,
"shakingsats","2022-01-05T06:41:42+00",,,0.00001,"BTC",,"credit","58953.9454",,
"card transactions","2022-01-05T16:35:02+00",18.02,"CAD",,,,"debit",,"MCDONALDS 6690",
"card transactions","2022-01-05T20:42:40+00",17.19,"CAD",,,,"debit",,"CHATEAU KABAB",
"card transactions","2022-01-05T20:43:06+00",17.19,"CAD",,,,"debit",,"CHATEAU KABAB",
"card transactions","2022-01-05T21:23:12+00",4.68,"CAD",,,,"debit",,"TIM HORTONS 1436",
"purchase/sale","2022-01-05T22:34:26+00",10,"CAD",0.00018182,"BTC","55095.9462","purchase",,,
"card transactions","2022-01-06T00:45:13+00",65,"CAD",,,,"debit",,"SHELL C03131",
"card transactions","2022-01-06T01:01:35+00",44.5,"CAD",,,,"debit",,"SAQ33594 HALLES SAINTE",
"shakingsats","2022-01-06T06:01:54+00",,,0.00001,"BTC",,"credit","54940.5007",,
"card cashbacks","2022-01-06T15:45:39+00",,,0.00000621,"BTC",,"credit","54710.1388","@cashbacks",
"card cashbacks","2022-01-06T15:45:52+00",,,0.00031072,"BTC",,"credit","54710.1388","@cashbacks",
"card transactions","2022-01-06T16:57:52+00",48.15,"CAD",,,,"debit",,"WALMART STORE 1212",
"card transactions","2022-01-06T21:13:28+00",34.53,"CAD",,,,"debit",,"PROVIGO 8457",
"card transactions","2022-01-06T23:53:44+00",23.43,"CAD",,,,"debit",,"PROVIGO 8457",
"shakingsats","2022-01-07T12:00:29+00",,,0.00001,"BTC",,"credit","53726.6224",,
"card cashbacks","2022-01-07T12:32:47+00",,,0.00001264,"BTC",,"credit","54001.3187","@cashbacks",
"card cashbacks","2022-01-07T12:32:51+00",,,0.00000858,"BTC",,"credit","54001.3187","@cashbacks",
"fiat funding","2022-01-07T15:58:50+00",,,150,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card cashbacks","2022-01-07T16:01:12+00",,,0.00000176,"BTC",,"credit","52507.6028","@cashbacks",
"card cashbacks","2022-01-07T16:13:34+00",,,0.00001685,"BTC",,"credit","52183.3022","@cashbacks",
"purchase/sale","2022-01-07T16:17:35+00",15,"CAD",0.00375,"ETH","3989.4016","purchase",,,
"card cashbacks","2022-01-07T16:19:26+00",,,0.00000686,"BTC",,"credit","51912.8529","@cashbacks",
"card cashbacks","2022-01-07T16:21:33+00",,,0.00002474,"BTC",,"credit","51935.6740","@cashbacks",
"shakingsats","2022-01-08T13:35:27+00",,,0.00001,"BTC",,"credit","52881.6361",,
"card transactions","2022-01-08T19:56:25+00",23.5,"CAD",,,,"debit",,"SAQ33583 PLACENAVILES",
"shakingsats","2022-01-09T07:22:30+00",,,0.00001,"BTC",,"credit","52920.8186",,
"card cashbacks","2022-01-09T14:51:18+00",,,0.0000181,"BTC",,"credit","52610.6272","@cashbacks",
"card cashbacks","2022-01-10T14:31:06+00",,,0.00000918,"BTC",,"credit","50555.4596","@cashbacks",
"shakingsats","2022-01-10T15:43:36+00",,,0.00001,"BTC",,"credit","52095.5537",,
"card transactions","2022-01-10T21:25:04+00",5,"CAD",,,,"debit",,"PROVIGO 8457",
"card cashbacks","2022-01-11T12:23:30+00",,,0.00000186,"BTC",,"credit","52970.2888","@cashbacks",
"shakingsats","2022-01-11T12:36:52+00",,,0.00001,"BTC",,"credit","52886.3559",,
"card transactions","2022-01-11T19:37:03+00",15.1,"CAD",,,,"debit",,"MARCHE INNOVATION 265",
"shakingsats","2022-01-12T11:58:59+00",,,0.00001,"BTC",,"credit","53861.6368",,
"card cashbacks","2022-01-12T15:45:39+00",,,0.00000547,"BTC",,"credit","54576.7325","@cashbacks",
"card transactions","2022-01-13T01:23:30+00",4.6,"CAD",,,,"debit",,"PROVIGO MARIO GOULET",
"card cashbacks","2022-01-13T12:56:28+00",,,0.00000166,"BTC",,"credit","54638.2018","@cashbacks",
"shakingsats","2022-01-13T15:50:20+00",,,0.00001,"BTC",,"credit","53781.5378",,
"shakingsats","2022-01-14T18:48:12+00",,,0.00001,"BTC",,"credit","53987.5376",,
"card transactions","2022-01-15T00:23:20+00",24.85,"CAD",,,,"debit",,"PROVIGO 8457",
"card cashbacks","2022-01-15T13:03:42+00",,,0.00000916,"BTC",,"credit","53627.5701","@cashbacks",
"shakingsats","2022-01-15T13:12:15+00",,,0.00001,"BTC",,"credit","53735.1940",,
"shakingsats","2022-01-16T14:25:31+00",,,0.00001,"BTC",,"credit","54153.4111",,
"shakingsats","2022-01-17T05:35:31+00",,,0.00001,"BTC",,"credit","53427.0678",,
"shakingsats","2022-01-18T05:12:01+00",,,0.00001,"BTC",,"credit","52703.6136",,
"fiat funding","2022-01-18T19:45:15+00",,,150,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2022-01-18T20:10:17+00",116.49,"CAD",,,,"debit",,"MAXI 8676",
"card transactions","2022-01-18T23:27:34+00",9.65,"CAD",,,,"debit",,"CHOCOLATS FAVORIS 105",
"card transactions","2022-01-18T23:35:52+00",3.29,"CAD",,,,"debit",,"JE BOIS LOCAL CARTIER",
"card cashbacks","2022-01-19T12:13:41+00",,,0.00000123,"BTC",,"credit","52497.8081","@cashbacks",
"shakingsats","2022-01-19T12:14:50+00",,,0.00001,"BTC",,"credit","52487.3909",,
"card cashbacks","2022-01-19T12:26:42+00",,,0.00004386,"BTC",,"credit","52530.0526","@cashbacks",
"card cashbacks","2022-01-20T12:53:24+00",,,0.00000364,"BTC",,"credit","52406.8278","@cashbacks",
"shakingsats","2022-01-20T12:58:34+00",,,0.00001,"BTC",,"credit","52538.6125",,
"purchase/sale","2022-01-21T03:14:46+00",20,"CAD",0.0004,"BTC","50175.2700","purchase",,,
"shakingsats","2022-01-21T05:07:12+00",,,0.00001,"BTC",,"credit","48593.0889",,
"purchase/sale","2022-01-21T12:39:42+00",10,"CAD",0.00020834,"BTC","47911.6795","purchase",,,
"card transactions","2022-01-21T16:20:21+00",15.53,"CAD",,,,"debit",,"DOLLARAMA  701",
"fiat funding","2022-01-21T16:32:21+00",,,160,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2022-01-21T17:05:46+00",47.75,"CAD",,,,"debit",,"SAQ33508 CARTIER",
"card transactions","2022-01-21T17:09:39+00",8.72,"CAD",,,,"debit",,"JE BOIS LOCAL CARTIER",
"card transactions","2022-01-21T17:35:44+00",31.73,"CAD",,,,"debit",,"MARCHE CARTIER",
"purchase/sale","2022-01-21T19:59:45+00",20,"CAD",0.00571428571428572,"ETH","3497.9823","purchase",,,
"purchase/sale","2022-01-22T09:39:03+00",20,"CAD",0.00044445,"BTC","44808.0072","purchase",,,
"card cashbacks","2022-01-22T13:04:33+00",,,0.00000384,"BTC",,"credit","44858.5336","@cashbacks",
"card cashbacks","2022-01-22T16:01:22+00",,,0.00000699,"BTC",,"credit","43898.1159","@cashbacks",
"card cashbacks","2022-01-22T16:23:22+00",,,0.00001412,"BTC",,"credit","44370.5974","@cashbacks",
"shakingsats","2022-01-22T19:52:59+00",,,0.00001,"BTC",,"credit","43685.0602",,
"card transactions","2022-01-22T23:15:14+00",40.42,"CAD",,,,"debit",,"MARCHE INNOVATION 265",
"card cashbacks","2022-01-23T14:31:59+00",,,0.00002111,"BTC",,"credit","44727.2293","@cashbacks",
"card cashbacks","2022-01-23T15:11:19+00",,,0.00001802,"BTC",,"credit","44347.5571","@cashbacks",
"shakingsats","2022-01-23T16:40:49+00",,,0.00001,"BTC",,"credit","44301.5393",,
"purchase/sale","2022-01-24T09:22:13+00",20,"CAD",0.00666666666666667,"ETH","2988.0925","purchase",,,
"shakingsats","2022-01-24T12:44:19+00",,,0.00001,"BTC",,"credit","42153.3124",,
"fiat funding","2022-01-24T15:45:30+00",,,150,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2022-01-24T23:49:26+00",61.69,"CAD",,,,"debit",,"WALMART STORE 1212",
"card transactions","2022-01-24T23:51:36+00",61.94,"CAD",,,,"debit",,"WALMART STORE 1212",
"shakingsats","2022-01-25T14:02:44+00",,,0.00001,"BTC",,"credit","46033.7673",,
"card transactions","2022-01-25T21:25:18+00",3.44,"CAD",,,,"debit",,"HART  LES SAULES",
"card transactions","2022-01-25T22:02:09+00",18.57,"CAD",,,,"debit",,"MAXI 8049       ",
"card cashbacks","2022-01-26T12:37:44+00",,,0.0000077,"BTC",,"credit","47669.2001","@cashbacks",
"shakingsats","2022-01-26T12:41:42+00",,,0.00001,"BTC",,"credit","47574.5679",,
"card cashbacks","2022-01-26T15:30:36+00",,,0.00007099,"BTC",,"credit","47911.1032","@cashbacks",
"fiat funding","2022-01-26T22:14:51+00",,,70,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"shakingsats","2022-01-27T05:04:32+00",,,0.00001,"BTC",,"credit","45771.1225",,
"card cashbacks","2022-01-27T14:36:05+00",,,0.00130586,"BTC",,"credit","46701.5369","@cashbacks",
"card cashbacks","2022-01-27T14:36:41+00",,,0.00002622,"BTC",,"credit","46698.5718","@cashbacks",
"shakingsats","2022-01-28T05:34:52+00",,,0.00001,"BTC",,"credit","47425.7484",,
"card transactions","2022-01-29T00:55:41+00",5,"CAD",,,,"debit",,"WALMART STORE 1212",
"card transactions","2022-01-29T01:02:25+00",15.76,"CAD",,,,"debit",,"POULET ROUGE",
"shakingsats","2022-01-29T13:22:34+00",,,0.00001,"BTC",,"credit","48253.8709",,
"card transactions","2022-01-29T21:37:23+00",10.33,"CAD",,,,"debit",,"PROVIGO 8457",
"card transactions","2022-01-29T22:24:48+00",39.95,"CAD",,,,"debit",,"SAQ33606 SAINTSACREME",
"shakingsats","2022-01-30T09:10:55+00",,,0.00001,"BTC",,"credit","48568.2509",,
"card cashbacks","2022-01-30T12:14:33+00",,,0.00000421,"BTC",,"credit","48487.1134","@cashbacks",
"card cashbacks","2022-01-30T14:44:54+00",,,0.00000645,"BTC",,"credit","48291.2575","@cashbacks",
"fiat funding","2022-01-30T23:32:24+00",,,50,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2022-01-30T23:32:31+00",32.97,"CAD",,,,"debit",,"MARCHE INNOVATION  2658",
"card cashbacks","2022-01-31T12:36:02+00",,,0.00001377,"BTC",,"credit","47323.4071","@cashbacks",
"shakingsats","2022-01-31T13:58:02+00",,,0.00001,"BTC",,"credit","47492.5456",,
"card cashbacks","2022-01-31T15:02:09+00",,,0.00000205,"BTC",,"credit","48006.1716","@cashbacks",
"card cashbacks","2022-01-31T15:07:50+00",,,0.00001645,"BTC",,"credit","48027.8897","@cashbacks",
"shakingsats","2022-02-01T13:26:09+00",,,0.00001,"BTC",,"credit","49288.2222",,
"shakingsats","2022-02-02T12:22:37+00",,,0.00001,"BTC",,"credit","48953.3479",,
"shakingsats","2022-02-03T06:01:44+00",,,0.00001,"BTC",,"credit","46939.4706",,
"fiat funding","2022-02-04T00:25:51+00",,,50,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2022-02-04T00:31:20+00",61.85,"CAD",,,,"debit",,"MAXI  CIE STROMUALD",
"shakingsats","2022-02-04T05:11:08+00",,,0.00001,"BTC",,"credit","47329.4739",,
"card cashbacks","2022-02-04T12:44:40+00",,,0.00002529,"BTC",,"credit","48357.6956","@cashbacks",
"card transactions","2022-02-04T16:23:43+00",11.16,"CAD",,,,"debit",,"FRITS",
"card cashbacks","2022-02-05T16:14:44+00",,,0.00000415,"BTC",,"credit","53130.0024","@cashbacks",
"shakingsats","2022-02-05T19:58:39+00",,,0.00001,"BTC",,"credit","53000.3642",,
"shakingsats","2022-02-06T15:34:20+00",,,0.00001,"BTC",,"credit","52946.0889",,
"fiat funding","2022-02-06T22:29:52+00",,,150,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2022-02-06T23:44:51+00",68.85,"CAD",,,,"debit",,"SHAKER STGEORGES",
"shakingsats","2022-02-07T05:10:22+00",,,0.00001,"BTC",,"credit","54554.1062",,
"card transactions","2022-02-07T19:05:48+00",41.49,"CAD",,,,"debit",,"ULTRAMAR 26368",
"shakingsats","2022-02-08T10:38:01+00",,,0.00001,"BTC",,"credit","55574.2784",,
"other","2022-02-08T12:19:29+00",,,1.49,"CAD",,"credit",,,
"card cashbacks","2022-02-08T12:21:58+00",,,0.00002458,"BTC",,"credit","55400.0812","@cashbacks",
"card cashbacks","2022-02-08T12:27:29+00",,,0.00001433,"BTC",,"credit","55189.2103","@cashbacks",
"purchase/sale","2022-02-08T14:31:35+00",0.00018172,"BTC",10,"CAD","55041.0824","sale",,,
"card transactions","2022-02-08T23:45:01+00",6.98,"CAD",,,,"debit",,"PROVIGO 8457",
"shakingsats","2022-02-09T12:16:48+00",,,0.00001,"BTC",,"credit","55634.5128",,
"card cashbacks","2022-02-09T12:42:18+00",,,0.00000245,"BTC",,"credit","56139.5771","@cashbacks",
"shakingsats","2022-02-10T05:50:27+00",,,0.00001,"BTC",,"credit","55588.4233",,
"card transactions","2022-02-11T00:04:52+00",4.6,"CAD",,,,"debit",,"DOLLARAMA 0927",
"card transactions","2022-02-11T00:16:27+00",31.47,"CAD",,,,"debit",,"MARCHE INNOVATION  2658",
"card cashbacks","2022-02-11T12:37:46+00",,,0.00001124,"BTC",,"credit","55356.3127","@cashbacks",
"shakingsats","2022-02-11T13:03:21+00",,,0.00001,"BTC",,"credit","55339.4912",,
"card cashbacks","2022-02-11T16:35:27+00",,,0.00000164,"BTC",,"credit","55222.5255","@cashbacks",
"fiat funding","2022-02-11T17:34:21+00",,,100,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2022-02-12T03:34:21+00",39.68,"CAD",,,,"debit",,"STH 238 GRANDEALLEE",
"shakingsats","2022-02-12T13:39:43+00",,,0.00001,"BTC",,"credit","53759.9341",,
"card cashbacks","2022-02-12T15:42:33+00",,,0.00001464,"BTC",,"credit","53609.5359","@cashbacks",
"card transactions","2022-02-12T22:14:15+00",46.95,"CAD",,,,"debit",,"SAQ33606 SAINTSACREME",
"shakingsats","2022-02-13T07:12:12+00",,,0.00001,"BTC",,"credit","54050.9240",,
"shakingsats","2022-02-14T12:34:06+00",,,0.00001,"BTC",,"credit","53866.4970",,
"card cashbacks","2022-02-14T14:56:56+00",,,0.00001712,"BTC",,"credit","54237.3753","@cashbacks",
"shakingsats","2022-02-15T05:25:34+00",,,0.00001,"BTC",,"credit","55536.3787",,
"card transactions","2022-02-15T19:06:42+00",13.56,"CAD",,,,"debit",,"PROVIGO 8457",
"card cashbacks","2022-02-16T12:36:21+00",,,0.00000479,"BTC",,"credit","55970.4433","@cashbacks",
"shakingsats","2022-02-16T14:29:22+00",,,0.00001,"BTC",,"credit","55382.5307",,
"shakingsats","2022-02-17T05:02:57+00",,,0.00001,"BTC",,"credit","55397.1442",,
"shakingsats","2022-02-18T13:19:41+00",,,0.00001,"BTC",,"credit","51340.5126",,
"fiat funding","2022-02-18T23:22:58+00",,,80,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2022-02-19T00:30:11+00",66.1,"CAD",,,,"debit",,"MAXI 8049       ",
"card cashbacks","2022-02-19T12:50:59+00",,,0.00002572,"BTC",,"credit","50810.1855","@cashbacks",
"shakingsats","2022-02-19T15:24:05+00",,,0.00001,"BTC",,"credit","51018.9648",,
"card transactions","2022-02-19T23:33:25+00",17.28,"CAD",,,,"debit",,"PROVIGO 8457",
"card cashbacks","2022-02-20T12:21:26+00",,,0.00000694,"BTC",,"credit","49201.9991","@cashbacks",
"shakingsats","2022-02-20T16:04:26+00",,,0.00001,"BTC",,"credit","48956.7873",,
"shakingsats","2022-02-21T12:41:53+00",,,0.00001,"BTC",,"credit","47982.6395",,
"shakingsats","2022-02-22T19:42:48+00",,,0.00001,"BTC",,"credit","48521.8715",,
"shakingsats","2022-02-23T05:29:10+00",,,0.00001,"BTC",,"credit","48376.1732",,
"shakingsats","2022-02-24T12:18:25+00",,,0.00001,"BTC",,"credit","45252.7154",,
"shakingsats","2022-02-25T20:48:52+00",,,0.00001,"BTC",,"credit","49472.4166",,
"shakingsats","2022-02-26T12:45:33+00",,,0.00001,"BTC",,"credit","49486.8499",,
"shakingsats","2022-02-27T14:30:42+00",,,0.00001,"BTC",,"credit","49593.2487",,
"shakingsats","2022-02-28T12:38:09+00",,,0.00001,"BTC",,"credit","49086.7048",,
"fiat funding","2022-02-28T19:47:57+00",,,150,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"shakingsats","2022-03-01T12:00:16+00",,,0.00001,"BTC",,"credit","55319.1994",,
"shakingsats","2022-03-02T17:26:23+00",,,0.00001,"BTC",,"credit","55902.3415",,
"shakingsats","2022-03-03T13:16:18+00",,,0.00001,"BTC",,"credit","55111.0439",,
"shakingsats","2022-03-04T06:04:30+00",,,0.00001,"BTC",,"credit","52535.6625",,
"shakingsats","2022-03-05T14:20:44+00",,,0.00001,"BTC",,"credit","49783.5897",,
"card transactions","2022-03-05T23:54:19+00",12.07,"CAD",,,,"debit",,"PROVIGO 8457",
"shakingsats","2022-03-06T05:31:58+00",,,0.00001,"BTC",,"credit","50289.7963",,
"card cashbacks","2022-03-06T12:31:03+00",,,0.00024315,"BTC",,"credit","49083.7355","@cashbacks",
"shakingsats","2022-03-07T05:05:36+00",,,0.00001,"BTC",,"credit","48139.7376",,
"shakingsats","2022-03-08T05:44:15+00",,,0.00001,"BTC",,"credit","49211.0132",,
"shakingsats","2022-03-09T14:45:12+00",,,0.00001,"BTC",,"credit","54033.8524",,
"shakingsats","2022-03-10T11:11:41+00",,,0.00001,"BTC",,"credit","50015.4006",,
"shakingsats","2022-03-11T14:09:15+00",,,0.00001,"BTC",,"credit","50049.5905",,
"shakingsats","2022-03-12T16:34:54+00",,,0.00001,"BTC",,"credit","49967.4877",,
"card transactions","2022-03-12T22:20:27+00",5.95,"CAD",,,,"debit",,"PROVIGO 8457",
"card cashbacks","2022-03-13T11:42:36+00",,,0.00000237,"BTC",,"credit","49505.5683","@cashbacks",
"shakingsats","2022-03-13T12:30:38+00",,,0.00001,"BTC",,"credit","49110.2473",,
"shakingsats","2022-03-14T12:44:57+00",,,0.00001,"BTC",,"credit","49481.7841",,
"shakingsats","2022-03-15T04:12:21+00",,,0.00001,"BTC",,"credit","49692.0561",,
"shakingsats","2022-03-16T04:19:29+00",,,0.00001,"BTC",,"credit","49782.2390",,
"shakingsats","2022-03-17T04:16:49+00",,,0.00001,"BTC",,"credit","52102.5077",,
"shakingsats","2022-03-18T10:58:23+00",,,0.00001,"BTC",,"credit","50946.7051",,
"fiat funding","2022-03-18T22:40:44+00",,,50,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"card transactions","2022-03-18T22:44:16+00",28.65,"CAD",,,,"debit",,"SAQ33596 VANIER",
"card transactions","2022-03-18T22:44:45+00",47.75,"CAD",,,,"debit",,"SAQ33596 VANIER",
"card transactions","2022-03-18T23:09:33+00",13.52,"CAD",,,,"debit",,"SUPER C VANIER  25993",
"card transactions","2022-03-18T23:24:32+00",30.47,"CAD",,,,"debit",,"MAXI 8676",
"card cashbacks","2022-03-19T12:33:42+00",,,0.00001142,"BTC",,"credit","52730.9031","@cashbacks",
"card cashbacks","2022-03-19T12:34:25+00",,,0.00000507,"BTC",,"credit","52736.8858","@cashbacks",
"shakingsats","2022-03-19T13:22:59+00",,,0.00001,"BTC",,"credit","52804.4989",,
